goods_genre_name,goods_genre_id
PC - Headsets / Headphones,1
Accessories - PS2,2
Accessories - PS3,3
Accessories - PS4,4
Accessories - PSP,5
Accessories - PSVita,6
Accessories - XBOX 360,7
Accessories - XBOX ONE,8
Tickets (digits),9
Delivery of goods,10
Game consoles - PS2,11
Game consoles - PS3,12
Game consoles - PS4,13
Game consoles - PSP,14
Game consoles - PSVita,15
Game consoles - XBOX 360,16
Game consoles - XBOX ONE,17
Game consoles - Other,18
Games - PS2,19
Games - PS3,20
Games - PS4,21
Games - PSP,22
Games - PSVita,23
Games - XBOX 360,24
Games - XBOX ONE,25
Games - Accessories for games,26
Games Android - Digital,27
Games MAC - Digital,28
Games PC - Additional publications,29
Games PC - Collector's Edition,30
Games PC - Standard Edition,31
Games PC - Digital,32
"Payment card (Movies, Music, Games)",33
Payment cards - Live!,34
Payment cards - Live! (Numeral),35
Payment cards - PSN,36
Payment card - Windows (figure),37
Movie - Blu-Ray,38
Movie - Blu-Ray 3D,39
Movie - Blu-Ray 4K,40
Movie - DVD,41
Cinema - Collector,42
"Books - artbook, encyclopedia",43
Books - Audiobooks,44
Books - Audiobooks (figure),45
Books - Audiobooks 1C,46
Books - Business Books,47
"Books - Comics, Manga",48
Books - Computer Books,49
Books - Methodical materials 1C,50
Books - Postcards,51
Books - Informative literature,52
Books - Travel Guides,53
Books - Fiction,54
Books - Digital,55
Music - CD of local production,56
Music - CD production firm,57
Music - MP3,58
Music - Vinyl,59
Music - Music video,60
Music - Gift Edition,61
Gifts - Attributes,62
"Gifts - gadgets, robots, sports",63
Gifts - Soft Toys,64
Gifts - Board Games,65
Gifts - Games (compact),66
"Gifts - Cards, Stickers",67
Gifts - Development,68
"Gifts - certificates, services",69
Gifts - Souvenirs,70
Gifts - Souvenirs (weighed in),71
"Gifts - Bags, Albums, Mats d / mouse",72
Gifts - Figures,73
Program - 1C: Enterprise 8,74
Program - MAC (figure),75
Program - For home and office,76
Program - Home & Office (Digital),77
Program - Educational,78
Programs - Educational (figure),79
System Tools,80
Utilities - Tickets,81
Net carriers (spire),82
Net carriers (piece),83
batteries,84
