goods_name,goods_id,goods_genre_id
! POWER IN glamor (PLAST.) D,1,41
"! ABBYY FineReader 12 Professional Edition Full [PC, Digital Version]",2,77
*** In the glory (UNV) D,3,41
*** BLUE WAVE (Univ) D,4,41
*** BOX (GLASS) D,5,41
*** NEW American Graffiti (UNI) D,6,41
*** shot on goal (UNI) D,7,41
*** shot on goal-2 (UNI) D,8,41
*** Tea with Mussolini D,9,41
*** SHUGARLENDSKY EXPRESS (UNI) D,10,41
* BEYOND DEATH D,11,41
* DEATH LINE D,12,41
* Micah Jumanji Amores Perros,13,56
* SAVING EMILY D,14,41
* Nutty Professor / MAGIC / D,15,41
// Crank: One against all (Region),16,41
// Mongolia S.Bodrov (Region),17,41
// Untraceable (Region),18,41
/ BOMB FOR BRIDE / 2DVD / D,19,41
/ GOLDEN COLLECTION m / p-72,20,41
/ Once in China-2,21,41
/THE LAST CHANCE,22,41
/ CURSE OF EL Charro,23,41
/ North and South /CH.2/,24,41
/ DEADLY BREAKDOWN,25,41
/YOU'RE DEAD,26,41
/ V.2 multiplies GRIEF (ser.3-4),27,41
"007 Legends [PS3, Russian version]",28,20
"007 Legends [Pc, Jewel, Russian version]",29,31
007 Legends [Xbox 360 Russian version],30,24
"007: COORDINATES ""SKAYFOLL""",31,41
"007: COORDINATES ""SKAYFOLL» (BD)",32,38
1 + 1,33,41
1 + 1 (BD),34,38
"10,000 BC WB (region)",35,41
10 YEARS LATER,36,41
10 YEARS (BD),37,38
10 YEARS LATER (region),38,41
10 most popular comedy twentieth century 10DVD (rem),39,42
10 most popular domestic comedy twentieth century (BD),40,42
100 Best classical melodies (mp3-CD) (Digipack),41,58
100 Best relax melodies (mp3-CD) (CD-Digipack),42,58
100 Best romantic melodies (mp3-CD) (Digipack),43,58
EUR 100 million,44,41
100 best melodies against stress (mp3-CD) (CD-Digipack),45,58
100 of the best folk songs (mp3-CD) (CD-Digipack),46,58
100 of the best works by Bach (mp3-CD) (Digipack),47,58
100 of the best works by Beethoven (mp3-CD) (Digipack),48,58
100 of the best works by Vivaldi (mp3-CD) (CD-Digipack),49,58
100 best works of Mozart (mp3-CD) (Digipack),50,58
100 best works of Rachmaninoff (mp3-CD) (Jewel),51,58
100 best classical works (mp3-CD) (Digipack),52,58
100 of the best works of piano music (mp3-CD) (CD-Digipack),53,58
100 best Russian songs (mp3-CD) (CD-Digipack),54,58
100 best Gypsy (mp3-CD) (CD-Digipack),55,58
100 favorite little tales (mp3-CD) (Jewel),56,44
100 favorite songs. Alexander Pakhmutova (Given. Y.) (Mp3-CD) (Jewel),57,58
100 pounds of multhitov (Given. Y.) (Mp3-CD) (Jewel),58,58
"100 Wonders of Russia [PC, Digital Version]",59,79
100 classic masterpieces (mp3-CD) (Digipack),60,58
1000 English phrases for all occasions (mp3-CD) (Jewel),61,44
1000 and one night 2CD (mp3-DVD) (DVD-Book),62,44
"10,000 years BC WB (BD)",63,38
101 Dalmatians wd,64,41
Dalmatian 101 m 2 / f (region),65,41
101 Dalmatian 2: Adventure PATCH LONDON (BD),66,38
Dalmatian 101 M / F (BD),67,38
Dalmatian 101 m / f (region),68,41
"101 Dalmatians. Interactive Tale [PC-CD, Jewel]",69,31
"101 advice for novice developers in the system ""1C: Enterprise 8"" [Digital Version]",70,55
"101 advice for novice developers in the system ""1C: Enterprise 8"". Khrustalev EY",71,50
Ocean's 11 WB (BD),72,38
Ocean's 11 WB (region),73,41
11-11-11 (region),74,41
12 Ocean's WB (BD),75,38
Ocean's 12 WB (region),76,41
12 Years a Slave (BD),77,38
12 Years a Slave (region),78,41
12 MONTHS,79,41
12 MONTHS. NEW STORY,80,41
12 rounds (BD),81,38
12 Christmas wish,82,41
12 / TWELVE (BD),83,38
12 / TWELVE (CP) (Area),84,41
127 HOURS,85,41
127 HOURS (BD + DVD),86,38
127 HOURS (region),87,41
Ocean's 13 WB (BD),88,38
Ocean's 13 WB (region),89,41
THE 13TH WARRIOR wd,90,41
13TH DISTRICT: Brick Mansions,91,41
13TH DISTRICT: Brick mansions (BD),92,38
13TH DISTRICT: ULTIMATUM (BD),93,38
15 famous fairy tales Children from 0 to 3 years (mp3-CD) (Jewel),94,44
16 Wishes,95,41
